epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1389.07,0.74256,1.83631,1.17136,0.81052,0.77869,0.84446,0.75645,0.42763,2.06963,0.88855,0.0003334,0.0003334,0.0003334
2,2383.34,0.55794,0.81431,0.99751,0.78345,0.28225,0.29786,0.24092,1.27682,3.53978,2.04293,0.000615806,0.000615806,0.000615806
3,3283.42,0.678,0.86941,1.07079,0.73037,0.22592,0.23192,0.18281,1.39258,4.79876,1.79224,0.000828899,0.000828899,0.000828899
4,4426.35,0.98254,1.09906,1.24359,0.40031,0.10638,0.10258,0.08036,0.69507,5.7165,1.17062,0.000972678,0.000972678,0.000972678
5,5695.64,0.74054,0.83544,1.0867,0.65705,0.27456,0.25998,0.19638,0.68143,6.13466,1.20339,0.00100687,0.00100687,0.00100687
6,6893.43,0.49856,0.45611,0.92915,0.77082,0.0911,0.10609,0.08683,0.52458,1.38484,0.95319,0.000841835,0.000841835,0.000841835
7,7878.06,0.60859,0.67157,1.0215,0.80206,0.14324,0.16422,0.12707,1.10896,1.41199,1.39307,0.000676802,0.000676802,0.000676802
8,8870.62,0.6306,0.69959,1.03678,0.87726,0.25492,0.32134,0.29333,0.43285,0.40713,0.87074,0.000511769,0.000511769,0.000511769
9,9809.33,0.45631,0.411,0.92419,0.96333,0.44141,0.49193,0.4231,1.24458,1.54443,1.61377,0.000346736,0.000346736,0.000346736
10,10598.1,0.67455,0.73439,1.07821,0.95465,0.96495,0.98042,0.91239,0.36067,0.3297,0.85888,0.000181703,0.000181703,0.000181703
